respondent_id,year,Q14_age,Q15_gender,Q16_state,Q17_income,Q1Q2_unaided_Acme_Strawberries,Q1Q2_unaided_Crimson_Crown_Berries,Q1Q2_unaided_Sunrise_Berries,Q1Q2_unaided_Red_Valley_Organics,Q1Q2_unaided_FreshPick_Strawberries,Q1Q2_unaided_Golden_Meadow_Berries,Q1Q2_unaided_Harvest_Hill_Berries,Q3_aided_Acme_Strawberries,Q3_aided_Crimson_Crown_Berries,Q3_aided_Sunrise_Berries,Q3_aided_Red_Valley_Organics,Q3_aided_FreshPick_Strawberries,Q3_aided_Golden_Meadow_Berries,Q3_aided_Harvest_Hill_Berries,Q4_purchased_Acme_Strawberries,Q4_purchased_Crimson_Crown_Berries,Q4_purchased_Sunrise_Berries,Q4_purchased_Red_Valley_Organics,Q4_purchased_FreshPick_Strawberries,Q4_purchased_Golden_Meadow_Berries,Q4_purchased_Harvest_Hill_Berries,Q5_01_quality_overall,Q5_02_freshness,Q5_03_sweetness_flavor,Q5_04_appearance,Q5_05_value_for_price,Q5_06_consistency,Q5_07_availability,Q5_08_sustainability,Q5_09_packaging,Q5_10_trust,Q5_11_shelf_life,Q6_purchase_intent,Q7_category_frequency,Q8_acme_frequency,Q9_last_brand_purchased,Q10_nps,Q11_brand_preference
101,2025,35-44,Female,OK,"$100,000 - $149,999",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,3,3,2,3,2,3,3,4,3,3,3,2-3 times a month,Never,Crimson Crown Berries,7,Crimson Crown Berries
102,2025,35-44,Female,MD,"$100,000 - $149,999",1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,4,3,2,2,3,2,3,3,3,3,3,3,2-3 times a month,Rarely - a few times a year,Crimson Crown Berries,2,Acme Strawberries
103,2025,18-24,Male,SC,"$25,000 - $49,999",0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,2,3,2,4,4,4,3,4,3,3,2,3,2-3 times a month,Never,Harvest Hill Berries,4,Crimson Crown Berries
104,2025,45-54,Female,FL,"$75,000 - $99,999",0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,3,3,3,3,4,3,2,1,3,2,3,2,2-3 times a month,Never,Sunrise Berries,1,Crimson Crown Berries
105,2025,25-34,Male,VA,"$100,000 - $149,999",0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,3,2,1,2,3,2,3,3,3,3,2,2-3 times a month,Never,Golden Meadow Berries,6,Golden Meadow Berries
106,2025,55-64,Female,IN,"$100,000 - $149,999",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,3,3,2,3,2,3,5,2,2,4,3,3,2-3 times a month,Rarely - a few times a year,Crimson Crown Berries,8,Red Valley Organics
107,2025,45-54,Male,OH,"$200,000 or more",1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,5,4,3,5,2,4,3,4,4,3,4,Once a week,Never,Sunrise Berries,7,Sunrise Berries
108,2025,25-34,Male,VA,"$75,000 - $99,999",0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,4,3,3,3,2,2,4,2,2,3,3,About once a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
109,2025,25-34,Female,WA,"$75,000 - $99,999",0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,4,3,2,5,3,3,4,3,3,5,2,4,2-3 times a month,Sometimes - about once a month,Acme Strawberries,7,Acme Strawberries
110,2025,35-44,Male,AZ,"$150,000 - $199,999",0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,3,4,3,3,4,3,2,2,1,4,2,3,2-3 times a month,Never,FreshPick Strawberries,4,Crimson Crown Berries
111,2025,65 or older,Female,CT,"$100,000 - $149,999",1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,3,4,4,3,3,3,3,4,3,4,3,4,Once a week,Never,Red Valley Organics,6,Golden Meadow Berries
112,2025,65 or older,Male,PA,"$75,000 - $99,999",1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,3,3,3,3,4,3,3,4,3,5,3,About once a month,Sometimes - about once a month,Acme Strawberries,1,Acme Strawberries
113,2025,65 or older,Female,MA,"$150,000 - $199,999",1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,3,4,4,3,2,3,2,2,4,4,4,2-3 times a month,Never,Don't recall,4,Sunrise Berries
114,2025,45-54,Male,TX,"$100,000 - $149,999",0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,3,4,3,3,3,2,4,3,3,2,2,3,2-3 times a month,Never,Crimson Crown Berries,5,Golden Meadow Berries
115,2025,65 or older,Male,MI,"$75,000 - $99,999",0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,5,3,3,4,2,1,2,4,2,5,2,3,Once a week,Rarely - a few times a year,Red Valley Organics,10,Red Valley Organics
116,2025,18-24,Male,MA,"$75,000 - $99,999",1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,5,5,4,4,3,4,3,2,3,3,2,4,About once a month,Rarely - a few times a year,Crimson Crown Berries,10,Crimson Crown Berries
117,2025,35-44,Male,MD,"$75,000 - $99,999",0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,3,4,2,3,2,1,3,3,4,3,2,4,About once a month,Never,Sunrise Berries,6,Crimson Crown Berries
118,2025,55-64,Female,CO,"$50,000 - $74,999",0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,3,3,2,3,4,4,4,2,2,3,2,3,2-3 times a month,Never,Crimson Crown Berries,4,Crimson Crown Berries
119,2025,25-34,Female,MI,"$100,000 - $149,999",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,3,2,4,3,2,1,3,5,4,3,2,3,Once a week,Never,Sunrise Berries,4,Sunrise Berries
120,2025,25-34,Non-binary / third gender,AZ,"$75,000 - $99,999",1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,3,4,4,3,3,2,2,3,3,4,2,4,More than once a week,Rarely - a few times a year,Acme Strawberries,5,Acme Strawberries
121,2025,55-64,Female,AL,"$50,000 - $74,999",0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,3,3,1,4,4,3,3,3,2,3,3,2,2-3 times a month,Rarely - a few times a year,Red Valley Organics,6,Crimson Crown Berries
122,2025,55-64,Male,SC,"$50,000 - $74,999",0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,4,3,2,4,2,2,3,4,2,3,3,Once a week,Sometimes - about once a month,Harvest Hill Berries,7,Harvest Hill Berries
123,2025,35-44,Male,OR,"Under $25,000",0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,3,3,2,3,2,1,3,4,1,2,3,3,2-3 times a month,Rarely - a few times a year,Crimson Crown Berries,6,Crimson Crown Berries
124,2025,25-34,Female,WI,"$50,000 - $74,999",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,2,2,3,4,3,3,3,2-3 times a month,Never,Don't recall,1,
125,2025,35-44,Female,IN,"$50,000 - $74,999",1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,4,3,3,5,3,2,3,4,3,2,4,3,Once a week,Very often - weekly or more,Crimson Crown Berries,10,Sunrise Berries
126,2025,35-44,Female,OK,"$25,000 - $49,999",1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,4,3,4,3,4,3,2,2,4,3,2,3,Never / less than once a month,Never,Red Valley Organics,8,Crimson Crown Berries
127,2025,35-44,Male,WI,"$25,000 - $49,999",1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,3,5,3,3,2,3,3,4,4,4,2-3 times a month,Rarely - a few times a year,Acme Strawberries,9,Acme Strawberries
128,2025,25-34,Female,KY,"$100,000 - $149,999",0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,3,3,3,3,3,3,4,2,4,4,3,2,Once a week,Never,Crimson Crown Berries,3,Crimson Crown Berries
129,2025,25-34,Female,WI,"$25,000 - $49,999",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,3,2,2,3,3,3,3,3,2,4,3,About once a month,Never,Crimson Crown Berries,6,Crimson Crown Berries
130,2025,18-24,Male,AL,"$50,000 - $74,999",1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,4,4,3,4,3,2,3,2,4,3,3,4,More than once a week,Rarely - a few times a year,Acme Strawberries,6,Red Valley Organics
131,2025,65 or older,Male,WI,"$150,000 - $199,999",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,2,3,2,3,4,2,2,3,3,3,3,2-3 times a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
132,2025,18-24,Male,FL,"$50,000 - $74,999",0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,4,3,3,3,4,3,2,4,3,1,3,3,2-3 times a month,Never,Crimson Crown Berries,4,Crimson Crown Berries
133,2025,35-44,Male,NC,"$75,000 - $99,999",1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,3,3,4,3,3,3,4,4,2,4,2,4,2-3 times a month,Rarely - a few times a year,Red Valley Organics,7,FreshPick Strawberries
134,2025,35-44,Female,WI,"$25,000 - $49,999",0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,5,3,3,3,3,4,2,2,2,4,4,4,2-3 times a month,Never,Harvest Hill Berries,7,Harvest Hill Berries
135,2025,65 or older,Male,SC,"$75,000 - $99,999",0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,3,4,2,3,3,3,3,4,1,3,2,2,Never / less than once a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
136,2025,45-54,Female,TX,"$50,000 - $74,999",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,3,3,4,4,4,3,3,2,3,2,4,Once a week,Never,Sunrise Berries,4,Crimson Crown Berries
137,2025,45-54,Female,FL,"$25,000 - $49,999",1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,3,4,3,5,2,3,2,2,2,3,2,3,About once a month,Sometimes - about once a month,Crimson Crown Berries,3,Crimson Crown Berries
138,2025,25-34,Female,IN,"$50,000 - $74,999",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,3,2,3,3,2,3,2,3,4,1,3,2,About once a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
139,2025,45-54,Female,OK,"$100,000 - $149,999",0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,3,2,3,2,4,3,4,3,2,2,2,2,2-3 times a month,Never,Sunrise Berries,4,Golden Meadow Berries
140,2025,35-44,Male,IN,"$200,000 or more",0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,3,2,4,3,3,4,4,3,2,1,2,3,More than once a week,Often - 2-3 times a month,Crimson Crown Berries,4,Crimson Crown Berries
141,2025,25-34,Male,TN,"$200,000 or more",1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,4,3,3,3,3,Once a week,Rarely - a few times a year,Don't recall,8,Acme Strawberries
142,2025,18-24,Male,NC,"$100,000 - $149,999",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,3,2,3,3,3,3,1,2,3,3,Once a week,Never,Crimson Crown Berries,2,Crimson Crown Berries
143,2025,18-24,Female,IN,"$50,000 - $74,999",1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,4,2,4,4,2,4,2,4,4,2,4,3,2-3 times a month,Rarely - a few times a year,Crimson Crown Berries,7,Red Valley Organics
144,2025,35-44,Female,FL,"$25,000 - $49,999",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,3,3,3,3,2,4,2,4,4,2,3,2,2-3 times a month,Never,Golden Meadow Berries,4,Golden Meadow Berries
145,2025,25-34,Male,TX,"$50,000 - $74,999",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,3,4,4,2,3,2,2,3,4,2,3,2-3 times a month,Never,Sunrise Berries,4,Sunrise Berries
146,2025,45-54,Male,CT,"$100,000 - $149,999",0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,3,2,3,3,3,3,3,3,3,3,2,3,Once a week,Rarely - a few times a year,Red Valley Organics,9,Golden Meadow Berries
147,2025,35-44,Female,MI,"$25,000 - $49,999",1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,4,3,4,3,4,3,3,3,2,2,2,3,Once a week,Never,Crimson Crown Berries,10,Crimson Crown Berries
148,2025,45-54,Male,NC,"$100,000 - $149,999",0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,5,4,4,2,2,2,3,3,3,1,3,3,More than once a week,Rarely - a few times a year,Red Valley Organics,8,Acme Strawberries
149,2025,25-34,Male,WA,"$200,000 or more",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,5,2,1,3,4,5,2,3,3,3,5,3,2-3 times a month,Never,FreshPick Strawberries,8,FreshPick Strawberries
150,2025,55-64,Non-binary / third gender,PA,"$75,000 - $99,999",0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,4,3,4,3,3,3,4,3,3,3,4,2-3 times a month,Rarely - a few times a year,Don't recall,6,Red Valley Organics
151,2025,45-54,Female,PA,"$150,000 - $199,999",0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,2,4,2,2,2,4,1,5,4,3,3,3,2-3 times a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
152,2025,55-64,Male,NY,"$200,000 or more",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,3,3,3,3,3,3,4,3,1,3,3,3,Once a week,Never,Red Valley Organics,3,Red Valley Organics
153,2025,25-34,Female,WI,"$75,000 - $99,999",0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,4,3,2,3,2,2,2,3,3,3,3,3,Once a week,Never,Crimson Crown Berries,3,Harvest Hill Berries
154,2025,35-44,Male,KY,"$25,000 - $49,999",0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,3,4,4,4,4,3,4,3,2,3,2,3,Once a week,Rarely - a few times a year,Crimson Crown Berries,5,Crimson Crown Berries
155,2025,55-64,Male,MN,"$75,000 - $99,999",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,3,1,3,3,2,3,3,2,2,2,2,More than once a week,Never,Sunrise Berries,5,Sunrise Berries
156,2025,45-54,Male,WI,"$100,000 - $149,999",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,2,3,3,4,2,1,3,3,Once a week,Never,Don't recall,6,
157,2025,55-64,Female,CT,"$150,000 - $199,999",0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,3,4,2,3,3,4,5,3,3,3,3,More than once a week,Often - 2-3 times a month,FreshPick Strawberries,4,FreshPick Strawberries
158,2025,35-44,Male,KY,"$100,000 - $149,999",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,3,2,3,2,4,3,3,3,3,3,2,3,Once a week,Never,Crimson Crown Berries,3,Sunrise Berries
159,2025,45-54,Male,AL,"$200,000 or more",0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,2,3,4,3,3,4,3,3,3,3,2,About once a month,Rarely - a few times a year,Red Valley Organics,0,Red Valley Organics
160,2025,35-44,Female,VA,"Under $25,000",0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,3,4,4,4,4,3,3,2,3,4,4,4,Once a week,Never,Crimson Crown Berries,5,Crimson Crown Berries
161,2025,45-54,Female,GA,"$200,000 or more",0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,3,2,1,2,2,2,3,2,4,3,3,More than once a week,Never,Red Valley Organics,5,Red Valley Organics
162,2025,35-44,Male,FL,"$25,000 - $49,999",0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,2,4,3,3,2,2,3,3,2,2,4,2,2-3 times a month,Never,Sunrise Berries,7,Harvest Hill Berries
163,2025,65 or older,Male,MA,"$100,000 - $149,999",0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,2,3,3,3,2,3,3,2,3,2,3,2,2-3 times a month,Never,Crimson Crown Berries,0,Red Valley Organics
164,2025,35-44,Female,PA,"$100,000 - $149,999",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,3,4,3,3,3,3,3,2,4,3,3,3,About once a month,Never,Harvest Hill Berries,4,Harvest Hill Berries
165,2025,25-34,Female,OK,"$75,000 - $99,999",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,4,3,3,3,4,2,2,3,3,3,4,About once a month,Often - 2-3 times a month,Crimson Crown Berries,6,Acme Strawberries
166,2025,25-34,Female,NY,"$50,000 - $74,999",1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,3,2,3,5,3,3,2,2,3,2-3 times a month,Never,Don't recall,6,Golden Meadow Berries
167,2025,25-34,Female,MA,"$50,000 - $74,999",0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,4,4,2,4,3,4,4,2,2,2,3,3,2-3 times a month,Never,Crimson Crown Berries,9,Crimson Crown Berries
168,2025,55-64,Male,GA,"$150,000 - $199,999",0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,3,3,3,3,5,1,3,5,3,3,2,3,2-3 times a month,Rarely - a few times a year,Sunrise Berries,9,FreshPick Strawberries
169,2025,65 or older,Male,LA,"$75,000 - $99,999",1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,4,2,3,3,3,2,3,5,2,3,2,2-3 times a month,Never,Red Valley Organics,5,Red Valley Organics
170,2025,45-54,Female,IN,"$50,000 - $74,999",0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,3,3,4,5,3,3,2,2,3,4,3,3,Once a week,Sometimes - about once a month,Acme Strawberries,6,Acme Strawberries
171,2025,45-54,Female,MD,"$25,000 - $49,999",0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2,3,3,2,2,3,2,3,4,3,3,2,2-3 times a month,Never,FreshPick Strawberries,5,FreshPick Strawberries
172,2025,65 or older,Female,IL,"$25,000 - $49,999",0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,2,4,4,2,1,4,2,3,1,3,2,Once a week,Never,Crimson Crown Berries,5,Crimson Crown Berries
173,2025,25-34,Female,WI,"Under $25,000",0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,2,3,3,3,3,4,2,4,3,2,2,About once a month,Never,Sunrise Berries,4,Sunrise Berries
174,2025,35-44,Female,AL,"$150,000 - $199,999",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,3,3,4,2,3,2,3,3,3,1,3,3,2-3 times a month,Never,Crimson Crown Berries,5,Sunrise Berries
175,2025,35-44,Male,MO,"$50,000 - $74,999",0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,4,2,4,4,1,3,3,3,3,3,2,3,2-3 times a month,Rarely - a few times a year,Don't recall,4,Acme Strawberries
176,2025,25-34,Male,NJ,"$100,000 - $149,999",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,4,2,4,3,1,3,4,2,3,3,3,More than once a week,Never,FreshPick Strawberries,4,FreshPick Strawberries
177,2025,35-44,Male,OK,"$100,000 - $149,999",0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,3,4,5,4,3,2,2,3,3,4,3,3,About once a month,Never,Crimson Crown Berries,8,Sunrise Berries
178,2025,65 or older,Male,OR,"$50,000 - $74,999",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,3,3,3,4,3,4,3,More than once a week,Never,Don't recall,6,Sunrise Berries
179,2025,45-54,Female,MA,"$100,000 - $149,999",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,3,3,2,2,2,3,3,3,4,3,3,Once a week,Never,Sunrise Berries,2,Sunrise Berries
180,2025,25-34,Male,OH,"$150,000 - $199,999",1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,3,4,4,3,3,2,3,4,3,3,3,3,Once a week,Sometimes - about once a month,Acme Strawberries,4,Acme Strawberries
181,2025,45-54,Female,CT,"$150,000 - $199,999",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,4,4,3,1,4,3,2,4,3,4,4,Once a week,Sometimes - about once a month,Acme Strawberries,8,Acme Strawberries
182,2025,25-34,Female,NJ,"$50,000 - $74,999",0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,3,3,1,3,2,2,2,4,2,Once a week,Rarely - a few times a year,Don't recall,8,Sunrise Berries
183,2025,55-64,Male,KY,"$200,000 or more",1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,3,2,2,4,3,2,3,3,4,4,2,2,Once a week,Sometimes - about once a month,FreshPick Strawberries,5,Acme Strawberries
184,2025,25-34,Male,MO,"$75,000 - $99,999",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,3,3,3,2,3,2,3,4,2,About once a month,Never,Don't recall,2,
185,2025,45-54,Male,PA,"$150,000 - $199,999",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,3,2,2,2,3,3,2,3,2,2,Once a week,Never,Don't recall,9,Crimson Crown Berries
186,2025,25-34,Female,PA,"$100,000 - $149,999",0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,4,2,3,3,2,3,4,2,2,4,3,3,2-3 times a month,Never,Crimson Crown Berries,5,Crimson Crown Berries
187,2025,45-54,Male,OR,"$25,000 - $49,999",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,3,3,2,3,3,3,4,3,Once a week,Never,Don't recall,7,Sunrise Berries
188,2025,35-44,Male,FL,"$75,000 - $99,999",0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,2,3,3,3,3,3,4,3,2,4,4,2,Never / less than once a month,Sometimes - about once a month,Crimson Crown Berries,7,Sunrise Berries
189,2025,35-44,Male,AL,"$100,000 - $149,999",0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2,3,3,3,2,2,2,2,3,2,3,3,About once a month,Never,Sunrise Berries,3,Sunrise Berries
190,2025,45-54,Female,NJ,"Under $25,000",1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,3,4,4,3,4,3,2,4,4,2,3,4,2-3 times a month,Often - 2-3 times a month,Acme Strawberries,5,Acme Strawberries
191,2025,55-64,Male,TN,"$25,000 - $49,999",0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,4,4,2,2,3,3,3,4,2,3,2,4,More than once a week,Never,Red Valley Organics,8,Crimson Crown Berries
192,2025,45-54,Female,MO,"$75,000 - $99,999",1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,3,4,3,3,3,1,3,2,3,4,2,About once a month,Never,Crimson Crown Berries,7,Sunrise Berries
193,2025,65 or older,Non-binary / third gender,CO,"Under $25,000",0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,3,3,3,3,3,3,3,2,2,2,5,3,Once a week,Never,Red Valley Organics,2,Red Valley Organics
194,2025,35-44,Female,MO,"$50,000 - $74,999",0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,2,4,4,4,3,3,3,3,1,3,2,3,Once a week,Sometimes - about once a month,Crimson Crown Berries,10,Crimson Crown Berries
195,2025,35-44,Female,MO,"$25,000 - $49,999",0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,3,3,4,4,3,3,5,2,3,2,3,3,Once a week,Never,Golden Meadow Berries,5,Golden Meadow Berries
196,2025,65 or older,Female,MA,"$100,000 - $149,999",1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,3,4,4,2,3,2,2,3,3,5,3,3,About once a month,Sometimes - about once a month,Acme Strawberries,5,Red Valley Organics
197,2025,35-44,Male,CO,"$75,000 - $99,999",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,1,4,3,2,3,1,3,3,4,2-3 times a month,Never,Don't recall,2,
198,2025,45-54,Female,NJ,"$75,000 - $99,999",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,2,3,3,3,2,4,4,3,3,2,3,About once a month,Often - 2-3 times a month,Acme Strawberries,6,Crimson Crown Berries
199,2025,45-54,Male,MO,"$75,000 - $99,999",0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,5,2,4,4,3,4,3,3,3,4,4,3,Once a week,Often - 2-3 times a month,Acme Strawberries,4,Crimson Crown Berries
200,2025,18-24,Female,WA,"Under $25,000",1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,3,2,3,4,3,3,3,4,1,2,3,3,About once a month,Sometimes - about once a month,Acme Strawberries,5,Acme Strawberries
201,2025,45-54,Male,MA,"$100,000 - $149,999",0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,2,2,3,2,1,3,4,3,2,About once a month,Never,Don't recall,4,
202,2025,35-44,Female,MO,"$75,000 - $99,999",0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,3,3,3,2,3,3,4,3,3,3,4,3,More than once a week,Never,Crimson Crown Berries,2,Crimson Crown Berries
203,2025,18-24,Female,OH,"$100,000 - $149,999",1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,4,4,3,3,3,3,3,3,4,4,3,4,2-3 times a month,Rarely - a few times a year,FreshPick Strawberries,4,FreshPick Strawberries
204,2025,65 or older,Female,MN,"Under $25,000",0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,3,5,3,3,2,2,2,3,2,3,4,3,Once a week,Never,Red Valley Organics,9,Red Valley Organics
205,2025,18-24,Male,OK,"$75,000 - $99,999",1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,4,3,4,2,4,3,3,2,2,3,3,2-3 times a month,Never,Crimson Crown Berries,7,Crimson Crown Berries
